SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
2,1,1,3,2,2,3,2,5,2,2.89311668774523,26
2,1,1,4,3,1,1,1,3,2,2.89311668774523,26
2,1,3,3,2,2,1,2,3,2,2.82598528871769,26
2,1,1,3,2,5,3,3,2,1,2.89311668774523,26
2,1,3,4,2,1,1,2,2,2,2.82978739413048,26
2,1,2,4,3,1,1,2,2,2,2.89311668774523,26
2,1,2,3,3,3,3,4,3,3,2.42141894934242,26
2,1,2,2,1,2,1,2,2,2,.63680966800696,26
1,1,1,3,2,3,3,2,2,2,2.90777333219425,26
2,1,1,2,1,3,2,2,2,2,2.89311668774523,26
2,1,1,4,2,1,2,1,2,3,2.89311668774523,26
1,1,2,3,2,3,3,3,3,2,2.90777333219425,26
2,1,3,3,2,1,1,1,1,1,2.82978739413048,26
1,1,1,3,1,3,2,2,1,3,2.90777333219425,26
1,1,1,2,2,3,3,3,2,2,2.90777333219425,26
1,1,1,2,2,5,3,3,2,1,2.90777333219425,26
1,1,1,3,2,2,4,2,2,2,2.90777333219425,26
2,1,3,2,2,5,2,4,2,2,2.82978739413048,26
1,1,1,4,4,2,2,1,4,3,2.90777333219425,26
2,1,1,2,2,5,3,2,2,3,2.89311668774523,26
1,1,3,2,2,3,4,4,1,5,2.84412320985398,26
2,1,3,5,2,3,3,3,2,3,.571276906801205,26
2,1,4,3,3,2,4,4,1,2,.554766664976369,26
1,1,3,4,2,2,3,2,3,2,.507131724898034,26
2,1,3,3,4,3,1,3,3,2,1.23289030438128,26
1,1,3,3,2,2,3,3,2,2,.561437360215064,26
2,1,3,3,3,3,2,2,2,2,1.05010217837459,26
1,1,4,2,2,4,4,3,1,2,.698792492985902,26
2,1,3,4,4,1,2,3,4,4,.475287841546912,26
2,1,3,5,5,2,3,2,2,2,3.00278655832762,26
1,1,3,3,2,2,4,2,1,2,.652639229788111,26
1,1,3,2,2,3,4,4,1,2,1.07236761508485,26
2,1,3,4,4,1,2,2,3,3,.938679175473945,26
2,1,3,3,3,2,3,4,1,2,1.05010217837459,26
1,1,3,3,2,1,3,2,2,3,2.34157569744035,26
2,1,3,3,3,2,2,1,2,2,.431714119870716,26
2,1,3,3,3,1,3,1,3,3,.691867250339311,26
1,1,2,4,3,1,2,1,2,2,1.22800765262078,26
2,1,4,2,2,2,3,2,5,5,.74386551195685,26
1,1,3,3,1,3,4,3,1,1,.495664733446304,26
1,1,4,3,3,2,4,3,2,2,1.59439966931019,26
1,1,3,3,2,3,4,3,1,1,.634177679885134,26
1,1,3,3,2,3,3,2,2,2,.656042582423427,26
2,1,3,3,2,1,2,2,1,3,.489157231967112,26
2,1,3,2,2,3,3,3,2,2,1.20025939880292,26
1,2,1,4,4,2,1,1,2,2,2.90777333219425,26
2,2,1,2,2,1,4,4,3,3,1.55684869389578,26
2,2,1,4,3,5,3,4,4,3,2.89311668774523,26
1,2,1,2,2,3,4,4,2,1,2.69832868629031,26
1,2,1,4,3,2,3,3,4,4,2.90777333219425,26
2,2,1,3,3,1,2,5,3,3,2.66506114810837,26
2,2,1,4,3,3,3,2,3,4,2.89311668774523,26
1,2,1,5,5,5,5,5,5,5,2.90777333219425,26
2,2,1,5,5,5,5,5,5,5,2.89311668774523,26
2,2,1,4,4,3,3,2,3,2,2.89311668774523,26
1,2,2,5,5,5,5,5,5,5,2.90777333219425,26
1,2,2,3,3,2,2,2,2,2,1.90009036430058,26
1,2,2,4,4,1,4,2,4,2,3.00278655832762,26
